﻿Full Name,First Name,Last Name,Job Title,Primary Company,Ticker
Nathalie von Siemens,Nathalie,von Siemens,Independent Member of the Supervisory Board,Siemens AG,SIEGn.DE
Julian zu Putlitz,Julian,zu Putlitz,Independent Member of the Supervisory Board,Sixt SE,SIXG.DE
Christian Baier,Christian,Baier,Chief Operating Officer and Member of the Management Board,Stroeer SE & Co KgaA,SAXG.DE
Takeshi Kunibe,Takeshi,Kunibe,Chairman of the Board,Sumitomo Mitsui Financial Group Inc,8316.T
Laszlo Gerech,Laszlo,Gerech,Independent Member of the Board of Directors,Tatneft' Imeni V.D. Shashina PAO,TATN.MM
Haviv Ilan,Haviv,Ilan,President and Chief Executive Officer and Director,Texas Instruments Inc,TXN.O
Tim Hottges,Tim,Hottges,Chairman of the Board,T-Mobile US Inc,TMUS.O
Koji Sato,Koji,Sato,President and Chief Executive Officer and Executive Officer and Representative Director,Toyota Motor Corp,7203.T
Kevin McNamara,Kevin,McNamara,Lead Independent Vice Chairman of the Board,Tyson Foods Inc,TSN
Frederic Oudea,Frederic,Oudea,Member of the Supervisory Board,Umicore SA,UMI.BR
Pietro Carlo Padoan,Pietro Carlo,Padoan,Chairman of the Board,UniCredit SpA,CRDI.MI
Christopher Patusky,Christopher,Patusky,Lead Independent Vice Chairman of the Board,United Therapeutics Corp,UTHR.O
Roberto Rodrigues,Roberto,Rodrigues,Member of the Board of Directors,Vale Fertilizantes SA,
Kelly Mahon Tullier,Kelly Mahon,Tullier,Vice Chairman of the Board and Chief People and Corporate Affairs Officer and Corporate Secretary,Visa Inc,V
Martin Lundstedt,Martin,Lundstedt,President and Chief Executive Officer,Volvo AB,VOLVb.ST
Doug McMillon,Doug,McMillon,President and Chief Executive Officer and Director,Walmart Inc,WMT
James Gorman,James,Gorman,Chairman of the Board,Walt Disney Co,DIS
Charlie Scharf,Charlie,Scharf,President and Chief Executive Officer and Director,Wells Fargo & Co,WFC
Jack VanWoerkom,Jack,VanWoerkom,Lead Independent Vice Chairman of the Board,WEX Inc,WEX
Congqin Zeng,Congqin,Zeng,Chairman of the Board,Wuliangye Yibin Co Ltd,000858.SZ
Chuanlin Wu,Chuanlin,Wu,Vice Chairman of the Board and Chief Purchasing Officer,Wus Printed Circuit Kunshan Co Ltd,002463.SZ
Ed Hu,Ed,Hu,Vice Chairman of the Board and Global Chief Investment Officer and Executive Director,WuXi AppTec Co Ltd,603259.SS
